"arxiv_category","arxiv_abstract"
"stat.TH","  Recent years have seen the rise of convolutional neural network techniques in
exemplar-based image synthesis. These methods often rely on the minimization of
some variational formulation on the image space for which the minimizers are
assumed to be the solutions of the synthesis problem. In this paper we
investigate, both theoretically and experimentally, another framework to deal
with this problem using an alternate sampling/minimization scheme. First, we
use results from information geometry to assess that our method yields a
probability measure which has maximum entropy under some constraints in
expectation. Then, we turn to the analysis of our method and we show, using
recent results from the Markov chain literature, that its error can be
explicitly bounded with constants which depend polynomially in the dimension
even in the non-convex setting. This includes the case where the constraints
are defined via a differentiable neural network. Finally, we present an
extensive experimental study of the model, including a comparison with
state-of-the-art methods and an extension to style transfer.
"
"stat.TH","  Saddle-point optimization problems are an important class of optimization
problems with applications to game theory, multi-agent reinforcement learning
and machine learning. A majority of the rich literature available for
saddle-point optimization has focused on the offline setting. In this paper, we
study nonstationary versions of stochastic, smooth, strongly-convex and
strongly-concave saddle-point optimization problem, in both online (or
first-order) and multi-point bandit (or zeroth-order) settings. We first
propose natural notions of regret for such nonstationary saddle-point
optimization problems. We then analyze extragradient and Frank-Wolfe
algorithms, for the unconstrained and constrained settings respectively, for
the above class of nonstationary saddle-point optimization problems. We
establish sub-linear regret bounds on the proposed notions of regret in both
the online and bandit setting.
"
"stat.TH","  We consider the problem of compressed sensing and of (real-valued) phase
retrieval with random measurement matrix. We derive sharp asymptotics for the
information-theoretically optimal performance and for the best known polynomial
algorithm for an ensemble of generative priors consisting of fully connected
deep neural networks with random weight matrices and arbitrary activations. We
compare the performance to sparse separable priors and conclude that generative
priors might be advantageous in terms of algorithmic performance. In
particular, while sparsity does not allow to perform compressive phase
retrieval efficiently close to its information-theoretic limit, it is found
that under the random generative prior compressed phase retrieval becomes
tractable.
"
"stat.TH","  In this paper, we consider Strassen's version of optimal transport (OT)
problem. That is, we minimize the excess-cost probability (i.e., the
probability that the cost is larger than a given value) over all couplings of
two given distributions. We derive large deviation, moderate deviation, and
central limit theorems for this problem. Our proof is based on Strassen's dual
formulation of the OT problem, Sanov's theorem on the large deviation principle
(LDP) of empirical measures, as well as the moderate deviation principle (MDP)
and central limit theorems (CLT) of empirical measures. In order to apply the
LDP, MDP, and CLT to Strassen's OT problem, two nested optimal transport
formulas for Strassen's OT problem are derived. Based on these nested formulas
and using a splitting technique, we carefully design asymptotically optimal
solutions to Strassen's OT problem and its dual formulation.
"
"stat.TH","  In this note we introduce the notion of a $C^k$-diffeological statistical
model, which allows us to apply the theory of diffeological spaces to (possibly
singular) statistical models. In particular, we introduce a class of almost
2-integrable $C^k$-diffeological statistical models that encompasses all known
statistical models for which the Fisher metric is defined. This class contains
a statistical model which does not appear in the Ay-Jost-L\^e-Schwachh\""ofer
theory of parametrized measure models. Then we show that for any positive
integer $k$ the class of almost 2-integrable $C^k$-diffeological statistical
models is preserved under probabilistic mappings. Furthermore, the monotonicity
theorem for the Fisher metric also holds for this class. As a consequence, the
Fisher metric on an almost 2-integrable $C^k$-diffeological statistical model
$P \subset {\cal P}({\cal X})$ is preserved under any probabilistic mapping $T:
{\cal X}\leadsto {\cal Y}$ that is sufficient w.r.t. $P$. Finally we extend the
Cram\'er-Rao inequality to the class of 2-integrable $C^k$-diffeological
statistical models.
"
"stat.TH","  We propose a generalization of the linear panel quantile regression model to
accommodate both \textit{sparse} and \textit{dense} parts: sparse means while
the number of covariates available is large, potentially only a much smaller
number of them have a nonzero impact on each conditional quantile of the
response variable; while the dense part is represent by a low-rank matrix that
can be approximated by latent factors and their loadings. Such a structure
poses problems for traditional sparse estimators, such as the
$\ell_1$-penalised Quantile Regression, and for traditional latent factor
estimator, such as PCA. We propose a new estimation procedure, based on the
ADMM algorithm, consists of combining the quantile loss function with $\ell_1$
\textit{and} nuclear norm regularization. We show, under general conditions,
that our estimator can consistently estimate both the nonzero coefficients of
the covariates and the latent low-rank matrix.
  Our proposed model has a ""Characteristics + Latent Factors"" Asset Pricing
Model interpretation: we apply our model and estimator with a large-dimensional
panel of financial data and find that (i) characteristics have sparser
predictive power once latent factors were controlled (ii) the factors and
coefficients at upper and lower quantiles are different from the median.
"
"stat.TH","  Gaussian graphical models are semi-algebraic subsets of the cone of positive
definite covariance matrices. They are widely used throughout natural sciences,
computational biology and many other fields. Computing the vanishing ideal of
the model gives us an implicit description of the model.
  In this paper, we resolve two conjectures of Sturmfels and Uhler from
\cite{BS n CU}. In particular, we characterize those graphs for which the
vanishing ideal of the Gaussian graphical model is generated in degree $1$ and
$2$. These turn out to be the Gaussian graphical models whose ideals are toric
ideals, and the resulting graphs are the $1$-clique sums of complete graphs.
"
"stat.TH","  We consider the problem of matrix approximation and denoising induced by the
Kronecker product decomposition. Specifically, we propose to approximate a
given matrix by the sum of a few Kronecker products of matrices, which we refer
to as the Kronecker product approximation (KoPA). Because the Kronecker product
is an extension of the outer product from vectors to matrices, KoPA extends the
low rank matrix approximation, and includes it as a special case. Comparing
with the latter, KoPA also offers a greater flexibility, since it allows the
user to choose the configuration, which are the dimensions of the two smaller
matrices forming the Kronecker product. On the other hand, the configuration to
be used is usually unknown, and needs to be determined from the data in order
to achieve the optimal balance between accuracy and parsimony. We propose to
use extended information criteria to select the configuration. Under the
paradigm of high dimensional analysis, we show that the proposed procedure is
able to select the true configuration with probability tending to one, under
suitable conditions on the signal-to-noise ratio. We demonstrate the
superiority of KoPA over the low rank approximations through numerical studies,
and several benchmark image examples.
"
"stat.TH","  Lomax distribution has been widely used in economics, business and actuarial
sciences. Due to its importance, we consider the statistical inference of this
model under joint type-II censoring scenario. In order to estimate the
parameters, we derive the Newton-Raphson(NR) procedure and we observe that most
of the times in the simulation NR algorithm does not converge. Consequently, we
make use of the expectation-maximization (EM) algorithm. Moreover, Bayesian
estimations are also provided based on squared error, linear-exponential and
generalized entropy loss functions together with the importance sampling method
due to the structure of posterior density function. In the sequel, we perform a
Monte Carlo simulation experiment to compare the performances of the listed
methods. Mean squared error values, averages of estimated values as well as
coverage probabilities and average interval lengths are considered to compare
the performances of different methods. The approximate confidence intervals,
bootstrap-p and bootstrap-t confidence intervals are computed for EM
estimations. Also, Bayesian coverage probabilities and credible intervals are
obtained. Finally, we consider the Bladder Cancer data to illustrate the
applicability of the methods covered in the paper.
"
"stat.TH","  Whether an extreme observation is an outlier or not, depends strongly on the
corresponding tail behaviour of the underlying distribution. We develop an
automatic, data-driven method to identify extreme tail behaviour that deviates
from the intermediate and central characteristics. This allows for detecting
extreme outliers or sets of extreme data that show less spread than the bulk of
the data. To this end we extend a testing method proposed in Bhattacharya et al
2019 for the specific case of heavy tailed models, to all max-domains of
attraction. Consequently we propose a tail-adjusted boxplot which yields a more
accurate representation of possible outliers. Several examples and simulation
results illustrate the finite sample behaviour of this approach.
"
"stat.TH","  We describe a formal approach to identify 'root causes' of outliers observed
in $n$ variables $X_1,\dots,X_n$ in a scenario where the causal relation
between the variables is a known directed acyclic graph (DAG). To this end, we
first introduce a systematic way to define outlier scores. Further, we
introduce the concept of 'conditional outlier score' which measures whether a
value of some variable is unexpected *given the value of its parents* in the
DAG, if one were to assume that the causal structure and the corresponding
conditional distributions are also valid for the anomaly. Finally, we quantify
to what extent the high outlier score of some target variable can be attributed
to outliers of its ancestors. This quantification is defined via Shapley values
from cooperative game theory.
"
"stat.TH","  Sum-Product Networks (SPNs) can be regarded as a form of deep graphical
models that compactly represent deeply factored and mixed distributions. An SPN
is a rooted directed acyclic graph (DAG) consisting of a set of leaves
(corresponding to base distributions), a set of sum nodes (which represent
mixtures of their children distributions) and a set of product nodes
(representing the products of its children distributions).
  In this work, we initiate the study of the sample complexity of PAC-learning
the set of distributions that correspond to SPNs. We show that the sample
complexity of learning tree structured SPNs with the usual type of leaves
(i.e., Gaussian or discrete) grows at most linearly (up to logarithmic factors)
with the number of parameters of the SPN. More specifically, we show that the
class of distributions that corresponds to tree structured Gaussian SPNs with
$k$ mixing weights and $e$ ($d$-dimensional Gaussian) leaves can be learned
within Total Variation error $\epsilon$ using at most
$\widetilde{O}(\frac{ed^2+k}{\epsilon^2})$ samples. A similar result holds for
tree structured SPNs with discrete leaves.
  We obtain the upper bounds based on the recently proposed notion of
distribution compression schemes. More specifically, we show that if a (base)
class of distributions $\mathcal{F}$ admits an ""efficient"" compression, then
the class of tree structured SPNs with leaves from $\mathcal{F}$ also admits an
efficient compression.
"
"stat.TH","  Variable selection in sparse regression models is an important task as
applications ranging from biomedical research to econometrics have shown.
Especially for higher dimensional regression problems, for which the link
function between response and covariates cannot be directly detected, the
selection of informative variables is challenging. Under these circumstances,
the Random Forest method is a helpful tool to predict new outcomes while
delivering measures for variable selection. One common approach is the usage of
the permutation importance. Due to its intuitive idea and flexible usage, it is
important to explore circumstances, for which the permutation importance based
on Random Forest correctly indicates informative covariates. Regarding the
latter, we deliver theoretical guarantees for the validity of the permutation
importance measure under specific assumptions and prove its (asymptotic)
unbiasedness. An extensive simulation study verifies our findings.
"
"stat.TH","  Recently, Chen, Li and Zhang have established simple conditions
characterizing when latent factors are asymptotically identifiable within a
certain model of confirmatory factor analysis. In this note, we prove a related
characterization of when factor loadings are identifiable, under slightly
weaker modeling assumptions and a slightly stronger definition of
identifiability. We also check that the previously-established characterization
for latent factors still holds in our modified model.
"
"stat.TH","  This paper focuses on hypothesis testing for the input of a L\'evy-driven
storage system by sampling of the storage level. As the likelihood is not
explicit we propose two tests that rely on transformation of the data. The
first approach uses i.i.d. `quasi-busy-periods' between observations of zero
workload. The distribution of the duration of quasi-busy-periods is determined.
The second method is a conditional likelihood ratio test based on the Bernoulli
events of observing a zero or positive workload, conditional on the previous
workload. Performance analysis is presented for both tests along with
speed-of-convergence results, that are of independent interest.
"
"stat.TH","  A generalized spiked Fisher matrix is considered in this paper. We establish
a criterion for the description of the support of the limiting spectral
distribution of high-dimensional generalized Fisher matrix and study the almost
sure limits of the sample spiked eigenvalues where the population covariance
matrices are arbitrary which successively removed an unrealistic condition
posed in the previous works, that is, the covariance matrices are assumed to be
diagonal or diagonal block-wise structure. In addition, we also give a
consistent estimator of the population spiked eigenvalues. A series of
simulations are conducted that support the theoretical results and illustrate
the accuracy of our estimators.
"
"stat.TH","  In this paper physical multi-scale processes governed by their own principles
for evolution or equilibrium on each scale are coupled by matching the stored
and dissipated energy, in line with the Hill-Mandel principle. In our view the
correct representations of stored and dissipated energy is essential to the
representation irreversible material behaviour, and this matching is also used
for upscaling. The small scales, here the meso-scale, is assumed to be
described probabilistically, and so on the macroscale also a probabilistic
model is identified in a Bayesian setting, reflecting the randomness of the
meso-scale, the loss of resolution due to upscaling, and the uncertainty
involved in the Bayesian process. In this way multi-scale processes become
hierarchical systems in which the information is transferred across the scales
by Bayesian identification on coarser levels. The quantities to be matched on
the coarse-scale model are the stored and dissipated energies. In this way
probability distributions of macro-scale material parameters are determined,
and not only in the elastic region, but also for the irreversible and highly
nonlinear elasto-damage regimes, refelcting the aleatory uncetainty at the
meso-scale level. For this purpose high dimensional meso-scale stochastic
simulations in a non-intrusive functional approximation forms are mapped to the
macro-scale models in an approximative manner by employing a generalised
version of the Kalman filter. To reduce the overall computational cost, a model
reduction of the meso-scale simulation is achieved by combining the
unsupervised learning techniques based on the Bayesian copula variartional
inference with the classical functional approximation forms from the field of
uncertainty quantification.
"
"stat.TH","  When performing multiple testing, adjusting the distribution of the null
hypotheses is ubiquitous in applications. However, the effect of such an
operation remains largely unknown, especially in terms of false discovery
proportion (FDP) and true discovery proportion (TDP) of the resulting
procedure. We explore this issue in the most classical case where the null
distributions are Gaussian with an unknown rescaling parameters (mean and
variance) and where the Benjamini-Hochberg (BH) procedure is applied after a
data-rescaling step. Our main result shows the following sparsity boundary: an
asymptotically optimal rescaling (in some specific sense) exists if and only if
the sparsity parameter $k$ (number of false nulls) is of order less than
$n/\log(n)$, where $n$ is the total number of tests. Our proof relies on new
non-asymptotic lower bounds on FDP/TDP, which are of independent interest and
share similarities with those developed in the minimax robust statistical
theory. Further sparsity boundaries are derived for general location models
where the shape of the null distribution is not necessarily Gaussian.
"
"stat.TH","  A coupling method is developed for univariate extreme value theory ,
providing an alternative to the use of the tail empirical/quantile processes.
Emphasizing the Peak-over-Threshold approach that approximates the distribution
above high threshold by the Generalized Pareto distribution, we compare the
empirical distribution of exceedances and the empirical distribution associated
to the limit Generalized Pareto model and provide sharp bounds for their
Wasser-stein distance in the second order Wasserstein space. As an application
, we recover standard results on the asymptotic behavior of the Hill estimator,
the Weissman extreme quantile estimator or the probability weighted moment
estimators, shedding some new light on the theory.
"
"stat.TH","  Maximum-likelihood estimation (MLE) is arguably the most important tool for
statisticians, and many methods have been developed to find the MLE. We present
a new inequality involving posterior distributions of a latent variable that
holds under very general conditions. It is related to the EM algorithm and has
a clear potential for being used in a similar fashion.
"
"stat.TH","  Fields like public health, public policy, and social science often want to
quantify the degree of dependence between variables whose relationships take on
unknown functional forms. Typically, in fact, researchers in these fields are
attempting to evaluate causal theories, and so want to quantify dependence
after conditioning on other variables that might explain, mediate or confound
causal relations. One reason conditional mutual information is not more widely
used for these tasks is the lack of estimators which can handle combinations of
continuous and discrete random variables, common in applications. This paper
develops a new method for estimating mutual and conditional mutual information
for data samples containing a mix of discrete and continuous variables. We
prove that this estimator is consistent and show, via simulation, that it is
more accurate than similar estimators.
"
"stat.TH","  Rating systems are ubiquitous, with applications ranging from product
recommendation to teaching evaluations. Confidence intervals for functionals of
rating data such as empirical means or quantiles are critical to
decision-making in various applications including recommendation/ranking
algorithms. Confidence intervals derived from standard Hoeffding and Bernstein
bounds can be quite loose, especially in small sample regimes, since these
bounds do not exploit the geometric structure of the probability simplex. We
propose a new approach to deriving confidence intervals that are tailored to
the geometry associated with multi-star/value rating systems using a
combination of techniques from information theory, including Kullback-Leibler,
Sanov, and Csisz{\'a}r inequalities.
  The new confidence intervals are almost always as good or better than all
standard methods and are significantly tighter in many situations. The standard
bounds can require several times more samples than our new bounds to achieve
specified confidence interval widths.
"
"stat.TH","  The theocratical properties of the power of the conventional testing
hypotheses and the selection bias are usually unknown under covariate-adaptive
randomized clinical trials. In the literature, most studies are based on
simulations. In this article, we provide theoretical foundation of the power of
the hypothesis testing and the selection bias under covariate-adaptive
randomization based on linear models. We study the asymptotic relative loss of
power of hypothesis testing to compare the treatment effects and the asymptotic
selection bias. Under the covariate-adaptive randomization, (i) the hypothesis
testing usually losses power, the more covariates in testing model are not
incorporated in the randomization procedure, the more the power is lost; (ii)
the hypothesis testing is usually more powerful than the one under complete
randomization; and (iii) comparing to complete randomization, most of the
popular covariate-adaptive randomization procedures in the literature, for
example, Pocock and Simon's marginal procedure, stratified permuted block
design, etc, produce nontrivial selection bias. A new family of
covariate-adaptive randomization procedures are proposed for considering the
power and selection bias simultaneously, under which, the covariate imbalances
are small enough so that the power of testing the treatment effects would be
asymptotically the largest and at the same time, the selection bias is
asymptotically the optimal. The theocratical properties give a full picture how
the power of the hypothesis testing, the selection bias of the randomization
procedure, and the randomization method affect each other.
"
